genus	in_phaz_set	phaz_count	known_phac
0-14-3-00-62-12	True	5	False
17J80-11	True	1	False
2-02-FULL-66-14	True	2	False
2-12-FULL-64-23	True	9	False
40CM-4-68-19	True	1	False
62-47	True	2	False
AP-15	True	38	False
AP-16	True	3	False
AVCC01	True	1	False
AWTP1-13	True	6	False
Aalborgiella	True	6	False
Acaudatibacter	True	6	False
Accumulibacter	True	5	False
Achromobacter	True	39	False
Acidibrevibacterium	True	2	False
Acidiflorens	True	1	False
Acidimangrovimonas	True	1	False
Acidiphilium	True	2	False
Acidisoma	True	1	False
Acidocella	True	4	False
Acidovorax	True	67	True
Acidovorax_F	True	3	False
Acidovorax_G	True	2	False
Actimicrobium	True	5	False
Actinoallomurus	True	1	False
Actinocorallia	True	1	False
Actinophytocola	True	1	False
Actinoplanes	True	4	False
Actinospica	True	1	False
Advenella	True	2	False
Aerobium	True	2	False
Aerolutibacter	True	3	False
Aeromonas	False	0	True
Aerosticca	True	1	False
Aestuarierythrobacter	True	2	False
Aestuariivirga	True	10	False
Afifella	True	1	False
Afipia	True	18	False
Agarilytica	True	1	False
Agrilutibacter	True	5	False
Agrobacterium	True	7	False
Albitalea	True	14	False
Alcaligenes	True	1	False
Alg239-R122	True	1	False
Algicoccus	True	1	False
Alicycliphilus	True	5	False
Aliidongia	True	3	False
Aliihoeflea	True	2	False
Aliiroseovarius	True	1	False
Aliitabrizicola	True	1	False
Alkalisalibacterium	True	1	False
Allobosea	True	19	False
Allochromatium	False	0	True
Allomesorhizobium	True	2	False
Allopusillimonas	True	1	False
Allorhizobium	True	6	False
Allorhodoferax	True	56	False
Allosphingosinicella	True	11	False
Allostella	True	1	False
Alsobacter	True	3	False
Alteraurantiacibacter	True	5	False
Alteriqipengyuania	True	1	False
Alterisphingorhabdus	True	1	False
Alteromonas	True	2	False
Alteromonas_E	True	1	False
Amaricoccus	True	5	False
Aminobacter	True	3	False
Amorphus	True	1	False
Amphibiibacter	True	1	False
Amphiplicatus	True	3	False
Ampullimonas	True	1	False
Amycolatopsis	True	2	False
Amylibacter	True	1	False
Ancylobacter	True	13	False
Andeanibacterium	True	2	False
Anderseniella	True	2	False
Aquabacter	True	5	False
Aquabacterium	True	65	False
Aquariibacter	True	1	False
Aquicella	True	1	False
Aquidulcibacter	True	5	False
Aquilutibacter	True	1	False
Aquimixticola	True	1	False
Aquimonas	True	10	False
Aquincola	True	4	False
Aquipseudomonas	True	7	False
Aquisalinus	True	3	False
Aquisediminimonas	True	10	False
Archangium	True	4	False
Archangium_A	True	2	False
Aromatoleum	True	4	False
Asticcacaulis	True	5	False
Astrobacterium	True	1	False
Aurantimonas	True	1	False
Aureimonas	True	1	False
Azohydromonas	True	3	False
Azonexus	True	5	False
Azorhizobium	True	3	False
Azospira	True	1	False
Azospirillum	True	6	False
Azotobacter	True	1	True
BNWE01	True	1	False
BOG-908	True	3	False
BOG-931	True	71	False
BOG-932	True	3	False
BOG-933	True	1	False
BOG-938	True	1	False
BOG-994	True	4	False
BOKV01	True	4	False
BPKI01	True	1	False
Bacillus	False	0	True
Bacillus_BU	True	1	False
Bacterioplanes	True	1	False
Bacterioplanoides	True	1	False
Bdellovibrio	True	2	False
Belnapia	True	1	False
Benzoatithermus	True	4	False
Berkiella	True	1	False
Bhargavaea	True	1	False
Bin65	True	3	False
Bin95	True	3	False
Blastococcus	True	2	False
Blastococcus_B	True	2	False
Blastomonas	True	2	False
Bog-105	True	1	False
Bog-1198	True	1	False
Bog-473	True	3	False
Bog-756	True	5	False
Bordetella	True	7	False
Bordetella_A	True	5	False
Bordetella_C	True	6	False
Brachymonas	True	3	False
Bradyrhizobium	True	239	True
Bradyrhizobium_A	True	4	False
Breoghania	True	6	False
Brevundimonas	True	13	False
Burkholderia	True	90	True
CADCVW01	True	1	False
CADEDU01	True	1	False
CADEEL01	True	1	False
CADEEN01	True	19	False
CADEFX01	True	2	False
CAHJXF01	True	7	False
CAHJXG01	True	1	False
CAIKMD01	True	2	False
CAIKUF01	True	7	False
CAIKVZ01	True	3	False
CAILKO01	True	1	False
CAIMFV01	True	3	False
CAIMUS01	True	1	False
CAIPHQ01	True	1	False
CAIPUP01	True	1	False
CAIQQQ01	True	2	False
CAISGS01	True	1	False
CAISIP01	True	14	False
CAITSH01	True	1	False
CAIUPE01	True	1	False
CAIVDX01	True	1	False
CAIVHB01	True	1	False
CAIXLI01	True	1	False
CAIXPL01	True	3	False
CAIXXC01	True	1	False
CAIYPG01	True	3	False
CAIYRG01	True	1	False
CAIYYX01	True	3	False
CAJANL01	True	1	False
CAJCHO01	True	2	False
CAJCIC01	True	2	False
CAJCIS01	True	3	False
CAJCJG01	True	1	False
CAJQQK01	True	2	False
CAKZQX01	True	1	False
CALABS01	True	2	False
CALCDT01	True	1	False
CALCYJ01	True	1	False
CALKHP01	True	1	False
CALNZV01	True	1	False
CALROG01	True	1	False
CAMBDR01	True	2	False
CAMBSA01	True	1	False
CAMCWB01	True	1	False
CAMDBL01	True	1	False
CAMDHY01	True	1	False
CAMFLJ01	True	1	False
CAMLIZ01	True	3	False
CAMLJR01	True	3	False
CAMYMG01	True	1	False
CAMYMQ01	True	1	False
CANCDA01	True	5	False
CANFOR01	True	1	False
CANGMW01	True	1	False
CANHBY01	True	2	False
CANIGJ01	True	1	False
CANJCB01	True	1	False
CANJDH01	True	2	False
CANJOT01	True	1	False
CANJQJ01	True	1	False
CANJYE01	True	1	False
CANKHJ01	True	2	False
CAVRGQ01	True	1	False
CAVROR01	True	1	False
CAVSRC01	True	3	False
CAVTAV01	True	1	False
CAVTJL01	True	1	False
CAVTWS01	True	2	False
CAVTWY01	True	3	False
CAVUBY01	True	2	False
CAVWGP01	True	1	False
CAVZAB01	True	1	False
CAVZMU01	True	1	False
CAWALT01	True	1	False
CAWBLP01	True	1	False
CAWCWK01	True	1	False
CAWFKS01	True	1	False
CAWGXZ01	True	1	False
CAWHQZ01	True	3	False
CAWJFP01	True	1	False
CAWUKT01	True	1	False
CAXBCP01	True	2	False
CAXBMB01	True	1	False
CAXBRX01	True	1	False
CAXSEF01	True	1	False
CAYFKJ01	True	1	False
CAYGKX01	True	1	False
CAYGPX01	True	1	False
CAYGQN01	True	1	False
CAYGQP01	True	1	False
CAYGRH01	True	1	False
CAYGSN01	True	1	False
CAYNRD01	True	1	False
CAYNWR01	True	1	False
CAYOJP01	True	1	False
CAYRGG01	True	1	False
CAYSGL01	True	1	False
CAYSMM01	True	1	False
CAYUYV01	True	1	False
CAYXSX01	True	1	False
CAZAAW01	True	1	False
CAZCBS01	True	1	False
CAZEFK01	True	1	False
CAZLPZ01	True	3	False
CAZNPA01	True	1	False
CAZRAL01	True	1	False
CAZRRW01	True	1	False
CAZVAR01	True	1	False
CAZVMY01	True	1	False
CAZXYL01	True	1	False
CAZZHG01	True	1	False
CAZZKE01	True	1	False
CBDBEU01	True	1	False
CBDCUY01	True	1	False
CBDCVD01	True	1	False
CBDDFQ01	True	1	False
CBDHHC01	True	1	False
CBJLQC01	True	1	False
Caballeronia	True	73	False
Caedimonas	True	1	False
Caldimonas	True	17	False
Calidifontimicrobium	True	1	False
Camelimonas	True	1	False
Candidimonas	True	1	False
Casimicrobium	True	7	False
Castellaniella	True	15	False
Catenulispora	True	1	False
Caulobacter	True	7	False
Celeribacter	True	1	False
Cellvibrio	True	1	False
Chelativorans	True	3	False
Chelatococcus_A	True	1	False
Chiayiivirga	True	1	False
Chitinasiproducens	True	1	False
Chitinimonas	True	2	False
Chromobacterium	False	0	True
Chthonobacter	True	1	False
Citreicoccus	True	1	False
Cognatiluteimonas	True	11	False
Cognatilysobacter	True	7	False
Cohaesibacter	True	1	False
Collimonas	True	11	False
Comamonas	True	45	True
Comamonas_C	True	5	False
Comamonas_E	True	1	False
Comamonas_F	True	2	False
Constrictibacter	True	1	False
Corallococcus	True	1	False
Coralloluteibacterium	True	1	False
Croceibacterium	True	2	False
Croceibacterium_A	True	2	False
Croceibacterium_B	True	4	False
Croceicoccus	True	1	False
Crossiella	True	1	False
Cupriavidus	True	148	True
Curvibacter	True	9	False
Cypionkella	True	2	False
DAHUYF01	True	9	False
