genus,intracellular,ralstonia,extracellular,extracellular_lemoignei,bacillus_type,total
Paraburkholderia,127,189,0,3,0,319
Bradyrhizobium,191,27,3,18,0,239
Cupriavidus,129,17,0,2,0,148
Variovorax,37,44,55,0,0,136
Polaromonas,56,43,8,2,0,109
Rubrivivax,63,43,1,0,0,107
Polynucleobacter,57,41,0,0,0,98
Mesorhizobium,86,10,0,0,0,96
Stenotrophomonas,60,33,0,0,0,93
Burkholderia,27,61,2,0,0,90
Pseudolabrys,61,12,0,0,0,73
Caballeronia,30,41,1,1,0,73
BOG-931,51,20,0,0,0,71
Rugamonas,39,20,6,6,0,71
Hydrogenophaga,31,25,10,2,0,68
Acidovorax,7,8,52,0,0,67
Aquabacterium,44,18,0,3,0,65
Telluria,39,18,5,0,0,62
Herbaspirillum,26,31,0,0,0,57
Allorhodoferax,15,26,13,2,0,56
