genus	n_phaZ_positive	n_phaZ_negative	mean_growth_phaZ_positive	mean_growth_phaZ_negative	delta_positive_minus_negative	median_growth_phaZ_positive	median_growth_phaZ_negative	selected_phaZ_positive	selected_phaZ_negative	total_selected	ok_phaZ_positive	ok_phaZ_negative	relative_delta_percent	direction
Bradyrhizobium	189	189	0.2038502211058378	0.2095805295857173	-0.0057303084798795	0.2080419326669826	0.2029323342302297	189	189	378	189	189	-2.7341797881734213	phaZ_negative_higher
Rubrivivax	99	99	0.1890555691668915	0.1834036473102079	0.0056519218566836	0.1712803411919384	0.1729843541619762	99	99	198	99	99	3.0816845463950733	phaZ_positive_higher
Polaromonas	86	86	0.307543327955481	0.2687623067584467	0.0387810211970342	0.2753919717772979	0.243813541907745	86	86	172	86	88	14.429486658592012	phaZ_positive_higher
Mesorhizobium	83	83	0.3067842309171202	0.3110413697998441	-0.0042571388827239	0.3048931260040678	0.3097125033295037	83	83	166	84	83	-1.3686728827947805	phaZ_negative_higher
Polynucleobacter	80	80	0.3538991077300877	0.2820780780601374	0.0718210296699502	0.271918067797318	0.2497629616226107	80	80	160	80	82	25.46140067454599	phaZ_positive_higher
Pseudolabrys	64	64	0.1172913471615661	0.1191666263564426	-0.0018752791948765	0.1031943656690644	0.1005296880743365	64	64	128	64	64	-1.573661395152113	phaZ_negative_higher
BOG-931	62	62	0.0905085046778673	0.0819900586502239	0.0085184460276434	0.0843995943228343	0.0799446491585719	62	62	124	62	62	10.389608408482506	phaZ_positive_higher
Novosphingobium	56	56	0.6236437426425473	0.4197492862411548	0.2038944564013924	0.5694806065686224	0.3911444024980792	56	56	112	56	56	48.57529555970483	phaZ_positive_higher
Hydrogenophaga	55	55	0.3295151186095164	0.3163780882462889	0.0131370303632274	0.3104157357500512	0.2918579896833426	55	55	110	55	55	4.152319914456496	phaZ_positive_higher
Rugamonas	55	55	2.616012598746323	2.744301350331659	-0.1282887515853357	2.3991826694454645	2.266877372895694	55	55	110	55	56	-4.674732662644048	phaZ_negative_higher
Telluria	51	51	1.485077901035031	1.408292323756709	0.0767855772783219	1.3008169716106932	1.2849751812257708	51	51	102	51	51	5.452389108639853	phaZ_positive_higher
Allorhodoferax	49	49	0.5163128144872399	0.3963501630248139	0.1199626514624259	0.4959521342293169	0.2688149101076107	49	49	98	49	49	30.26683540304625	phaZ_positive_higher
Stenotrophomonas	48	48	0.5644124430000029	0.5047421347523603	0.0596703082476426	0.4295973047900586	0.4442920615295538	48	48	96	48	48	11.82193919216164	phaZ_positive_higher
Roseiarcus	48	48	0.1341639965289256	0.1458947750547241	-0.0117307785257985	0.1205546750617998	0.1417949039949379	48	48	96	48	48	-8.040574805642194	phaZ_negative_higher
Streptomyces	47	47	0.6495357579472744	0.617654876688993	0.0318808812582813	0.6495808780371464	0.6354454407684894	47	47	94	47	47	5.161601156487629	phaZ_positive_higher
Variovorax	46	46	0.5647391250937617	0.5121115751126628	0.0526275499810988	0.5979364103281506	0.4744798129946675	46	46	92	46	46	10.276578882154913	phaZ_positive_higher
Pseudoxanthomonas_A	37	37	0.3235631729959962	0.3198062372799081	0.0037569357160881	0.3162397560489022	0.307108160173351	37	37	74	37	37	1.1747537346496058	phaZ_positive_higher
Reyranella	34	34	0.1324963218426098	0.1405460917731477	-0.0080497699305378	0.1237632451562606	0.1418861661772404	34	34	68	34	34	-5.727494680912759	phaZ_negative_higher
Ramlibacter	34	34	0.2672795121894605	0.3404497689771432	-0.0731702567876826	0.2547228368628693	0.2932830003206965	34	34	68	34	35	-21.49223276241819	phaZ_negative_higher
Rhizomicrobium	33	33	0.2435220611693828	0.1991367287034738	0.0443853324659089	0.2126986383299926	0.1854603914749173	33	33	66	33	33	22.288872954220942	phaZ_positive_higher
Luteimonas	33	33	0.2799575779629502	0.2639030606945688	0.0160545172683814	0.2434950895257368	0.2484988168906448	33	33	66	34	33	6.083490364275191	phaZ_positive_higher
Limnohabitans_A	32	32	0.4034458376893835	0.3473772855136776	0.0560685521757058	0.4152060650133969	0.3174122971304364	32	32	64	33	32	16.14053494971483	phaZ_positive_higher
Comamonas	32	32	1.0386440347017722	1.3387611572828615	-0.3001171225810894	1.0447965038780058	1.2126054415774687	32	32	64	32	32	-22.417525407609272	phaZ_negative_higher
AP-15	31	31	0.0656836163469387	0.0734792238359659	-0.0077956074890271	0.0602858409795998	0.0656653883918097	31	31	62	31	31	-10.609267602540163	phaZ_negative_higher
Methylobacterium	30	30	0.3078001480577575	0.2901459697590021	0.0176541782987554	0.2855515363544877	0.276222914042181	30	30	60	30	30	6.084585049869595	phaZ_positive_higher
Rhodoferax	28	28	0.2393303104105522	0.2260467141130144	0.0132835962975378	0.2396531590929575	0.1897291160635004	28	28	56	28	29	5.876482810051611	phaZ_positive_higher
Rhodanobacter	27	27	0.2694284624996149	0.2833938327087332	-0.0139653702091183	0.2510304722977626	0.264928486195326	27	27	54	27	27	-4.9279019503122505	phaZ_negative_higher
Burkholderia	26	26	1.1882337875418192	0.9158004513022204	0.2724333362395986	1.205031559901072	0.9628134255096968	26	26	52	27	26	29.74811115808172	phaZ_positive_higher
Sphingobium	26	26	0.671901358784172	0.5661257172446417	0.1057756415395303	0.5741454980565832	0.5920509622330277	26	26	52	26	26	18.68412586065599	phaZ_positive_higher
Limnohabitans	26	26	0.2234684243651115	0.2403441621625231	-0.0168757377974116	0.2169280838312202	0.1855758183314723	26	26	52	26	26	-7.021488537757809	phaZ_negative_higher
Sphingomicrobium	25	25	0.2279152838421098	0.2291546903266826	-0.0012394064845727	0.1957073483407758	0.2044202748402483	25	25	50	25	25	-0.5408601861065134	phaZ_negative_higher
VAZQ01	24	24	0.0717088577909928	0.0720919856001847	-0.0003831278091919	0.0695132062016188	0.0731246058302372	24	24	48	24	24	-0.5314429974459164	phaZ_negative_higher
Sphingomonas	24	24	0.3876785703343384	0.444262882927554	-0.0565843125932156	0.3938565100177477	0.3930773953147006	24	24	48	24	24	-12.736673435408917	phaZ_negative_higher
Thermomonas	24	24	0.3205376709592114	0.3827901391379897	-0.0622524681787782	0.2635140920937507	0.3340935514189124	24	24	48	24	24	-16.262819183107844	phaZ_negative_higher
Janthinobacterium	24	24	3.888419701172544	4.107441932178953	-0.2190222310064098	3.3917250834477093	3.973028300632258	24	24	48	24	24	-5.332326898903252	phaZ_negative_higher
Achromobacter	23	23	1.09906765574941	1.1063869094602987	-0.0073192537108885	1.1166658637734403	1.052029416313242	23	23	46	23	24	-0.6615455812342239	phaZ_negative_higher
UKL13-2	21	21	0.1470862208467189	0.1349471406368741	0.0121390802098448	0.1387136150831327	0.1352190170479027	21	21	42	22	21	8.995433436051488	phaZ_positive_higher
Aquabacterium	21	21	0.5856543642838729	0.6832512139223963	-0.0975968496385234	0.5556200180161125	0.6016482259436288	21	21	42	21	21	-14.284182398775577	phaZ_negative_higher
Rudaea	20	20	0.2092308134794764	0.1984578553821459	0.0107729580973305	0.2006436705907311	0.2210933669344126	20	20	40	21	20	5.428335440079376	phaZ_positive_higher
Rhizobium	19	19	0.8890454320280997	0.7267231686693548	0.1623222633587449	0.7768116424056853	0.6574340424863627	19	19	38	19	19	22.33618939877207	phaZ_positive_higher
Undibacterium	19	19	1.3627322357993343	1.2950848815668907	0.0676473542324436	0.8728004827477567	0.9894592375639778	19	19	38	19	19	5.223391547170157	phaZ_positive_higher
Pseudaquabacterium	19	19	0.2257456543503423	0.1817640675786653	0.0439815867716769	0.2272301543496472	0.1823173831807711	19	19	38	19	19	24.19707445897809	phaZ_positive_higher
Methyloceanibacter	19	19	0.0675211496219679	0.0709257387442951	-0.0034045891223272	0.0621398954891544	0.0711516258968751	19	19	38	19	19	-4.8002166528029955	phaZ_negative_higher
Caballeronia	18	18	0.7283965213299527	0.6077797571027665	0.1206167642271861	0.7742421322579016	0.5830349351892653	18	18	36	18	18	19.84547244583396	phaZ_positive_higher
Neorhizobium	18	18	0.6354322013595342	0.6259576792573148	0.0094745221022193	0.5737060143599659	0.6160452791556066	18	18	36	18	19	1.5136042605085722	phaZ_positive_higher
Dokdonella_A	18	18	0.2560909614556832	0.3448604397282182	-0.088769478272535	0.2702326110341359	0.2647777490400296	18	18	36	18	19	-25.740696248747323	phaZ_negative_higher
Marinobacter	18	18	0.4094085783902887	0.5694772324079812	-0.1600686540176924	0.3227331171342441	0.4191974653581175	18	18	36	18	18	-28.107998864301752	phaZ_negative_higher
