genome_id	phaZ_count	best_evalue	best_pident	hit_refs
GCA_000013625.1	3	6.62e-24	38.4	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_000245075.1	4	2.1e-19	41.2	BAA33394.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_000342265.1	3	9.21e-17	63.6	BAA33394.1,UCA14981.1
GCA_000173575.1	4	5.18e-25	40.4	BAA33394.1,UCA14981.1
GCA_000378025.1	3	9.96e-15	33.8	CAJ93939.1,CAJ95805.1,WKZ88401.1
GCA_000381565.1	1	4.51e-11	36.1	UCA14981.1
GCA_000472185.1	1	4.4e-11	33.7	WKZ88401.1
GCA_000496475.1	2	1.32e-11	52.8	BAA33394.1,UCA14981.1
GCA_000471925.1	6	3.49e-32	41.8	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_000502395.1	1	1.02e-14	37.6	CAJ93939.1
GCA_000721275.1	1	1.22e-11	37.8	AAB02914.1
GCA_000648925.1	4	1.81e-26	43.1	BAA33394.1,UCA14981.1
GCA_000824845.1	2	5.23e-11	37.5	CAJ95805.1,UCA14981.1
GCA_000824825.2	2	5.39e-11	33.9	BAA33394.1,UCA14981.1
GCA_000831005.1	1	7.02e-15	96.2	BAA32541.1
GCA_001192655.1	1	1.11e-16	30.8	WKZ88401.1
GCA_001189335.2	4	2.46e-20	49.6	BAA33394.1,UCA14981.1
GCA_000985875.1	2	6.42e-12	42.3	CAJ93939.1,WKZ88401.1
GCA_000955785.1	6	1.08e-28	92.0	BAA33394.1,UCA14981.1
GCA_001263235.1	3	1.1e-12	84.6	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_001295905.1	3	5.68e-13	37.6	BAA33394.1,UCA14981.1,WP_207907290.1
GCA_001303445.1	1	1.06e-15	32.4	BAA33394.1
GCA_001235855.1	3	9.19e-37	47.8	BAA33394.1,UCA14981.1,WKZ88401.1
GCA_001184395.1	4	1.34e-31	60.2	BAA33394.1,CAJ95805.1,UCA14981.1,WKZ88401.1
