genome_id	phaZ_status	major_subtype	phylum	genus	species	growth_rate_per_h	doubling_time_h
GCA_022843465.1	phaZ_positive	extracellular.lemoignei_like	Pseudomonadota	0-14-3-00-62-12	0-14-3-00-62-12 sp022843465	0.1851453307750286	3.74380049260974
GCA_038255435.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	0-14-3-00-62-12	0-14-3-00-62-12 sp038255435	0.2644336907924542	2.62125139380963
GCA_041741075.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	0-14-3-00-62-12	0-14-3-00-62-12 sp041741075	0.0776746791362489	8.92372119547604
GCA_050173995.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	0-14-3-00-62-12	0-14-3-00-62-12 sp050173995	0.1173805404391361	5.90512854998614
GCA_002785585.1	phaZ_negative	none	Pseudomonadota	0-14-3-00-62-12	0-14-3-00-62-12 sp002785585	0.1186132416048902	5.84375885172139
GCA_031391205.1	phaZ_negative	none	Pseudomonadota	0-14-3-00-62-12	0-14-3-00-62-12 sp031391205	0.1059099838659188	6.54468214665639
GCA_034440555.1	phaZ_negative	none	Pseudomonadota	0-14-3-00-62-12	0-14-3-00-62-12 sp034440555	0.1121809192654127	6.17883313043642
GCA_043738015.1	phaZ_negative	none	Pseudomonadota	0-14-3-00-62-12	0-14-3-00-62-12 sp043738015	0.2320675210804589	2.98683407886116
GCF_010975005.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	17J80-11	17J80-11 sp010975005	0.4131460703889144	1.67772908963518
GCF_014349105.1	phaZ_negative	none	Pseudomonadota	17J80-11	17J80-11 sp014349105	0.5206881722016747	1.33121360838493
GCA_037443705.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	2-02-FULL-66-14	2-02-FULL-66-14 sp037443705	0.1324738459884038	5.23233227954007
GCA_964627075.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	2-02-FULL-66-14	2-02-FULL-66-14 sp964627075	0.0977873932563219	7.0883081906382
GCA_001771975.1	phaZ_negative	none	Pseudomonadota	2-02-FULL-66-14	2-02-FULL-66-14 sp001771975	0.0745562521217868	9.29696921228949
GCA_004298325.1	phaZ_negative	none	Pseudomonadota	2-02-FULL-66-14	2-02-FULL-66-14 sp004298325	0.1100541963726622	6.29823490067413
GCA_001770575.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	2-12-FULL-64-23	2-12-FULL-64-23 sp001770575	0.0638758559687815	10.8514738479389
GCA_014860445.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	2-12-FULL-64-23	2-12-FULL-64-23 sp014860445	0.0520420958214269	13.318971298511
GCA_016234705.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	2-12-FULL-64-23	2-12-FULL-64-23 sp016234705	0.0555050645492886	12.4879988193587
GCA_021825225.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	2-12-FULL-64-23	2-12-FULL-64-23 sp021825225	0.0733381609543869	9.45138481166785
GCA_038206915.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	2-12-FULL-64-23	2-12-FULL-64-23 sp038206915	0.0468368266409274	14.7991917956767
GCA_052172655.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	2-12-FULL-64-23	2-12-FULL-64-23 sp052172655	0.0362114878038659	19.1416377121612
GCA_964400745.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	2-12-FULL-64-23	2-12-FULL-64-23 sp964400745	0.087472755708804	7.924149353056
GCA_964565875.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	2-12-FULL-64-23	2-12-FULL-64-23 sp964565875	0.0754621513586477	9.18536204017874
GCA_004298385.1	phaZ_negative	none	Pseudomonadota	2-12-FULL-64-23	2-12-FULL-64-23 sp004298385	0.06076298877051	11.4073911534837
GCA_021811085.1	phaZ_negative	none	Pseudomonadota	2-12-FULL-64-23	2-12-FULL-64-23 sp021811085	0.0801685329600992	8.64612529338578
GCA_026399375.1	phaZ_negative	none	Pseudomonadota	2-12-FULL-64-23	2-12-FULL-64-23 sp026399375	0.0817332248010731	8.48060482437791
GCA_027457185.1	phaZ_negative	none	Pseudomonadota	2-12-FULL-64-23	2-12-FULL-64-23 sp027457185	0.0591496319216734	11.7185375130959
GCA_036795025.1	phaZ_negative	none	Pseudomonadota	2-12-FULL-64-23	2-12-FULL-64-23 sp036795025	0.0817091038141511	8.48310834661119
GCA_043805375.1	phaZ_negative	none	Pseudomonadota	2-12-FULL-64-23	2-12-FULL-64-23 sp043805375	0.0538719898696955	12.8665598251803
GCA_919902965.1	phaZ_negative	none	Pseudomonadota	2-12-FULL-64-23	2-12-FULL-64-23 sp919902965	0.0885661288703898	7.8263235550728
GCA_964601155.1	phaZ_negative	none	Pseudomonadota	2-12-FULL-64-23	2-12-FULL-64-23 sp964601155	0.0529647723800974	13.0869472181553
GCA_041499865.1	phaZ_positive	intracellular.cupriavidus_like	Myxococcota	40CM-4-68-19	40CM-4-68-19 sp041499865	0.1943236273680347	3.56697324946068
GCA_035498355.1	phaZ_negative	none	Myxococcota	40CM-4-68-19	40CM-4-68-19 sp035498355	0.1590883478802769	4.35699527838191
GCA_024508855.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	62-47	62-47 sp024508855	0.2246478410349365	3.08548338308824
GCA_051954235.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	62-47	62-47 sp051954235	0.2126809531416949	3.25909382255847
GCA_020441545.1	phaZ_negative	none	Pseudomonadota	62-47	62-47 sp020441545	0.1514548209316463	4.57659370825028
GCA_049651165.1	phaZ_negative	none	Pseudomonadota	62-47	62-47 sp049651165	0.1311490236804599	5.28518749974666
GCA_005884825.1	phaZ_positive	extracellular.general	Pseudomonadota	AP-15	AP-15 sp005884825	0.0719555966156661	9.63298496796889
GCA_017353855.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp017353855	0.0590113718089559	11.745993345214
GCA_019237135.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	AP-15	AP-15 sp019237135	0.0316282119547339	21.9154715907422
GCA_035272665.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp035272665	0.0544670417643617	12.7259927858516
GCA_035503615.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp035503615	0.1188611901201762	5.8315685705244
GCA_035570595.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp035570595	0.0668506941697129	10.3685861331561
GCA_036008325.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp036008325	0.0842982062769045	8.22256144197281
GCA_049799535.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp049799535	0.0393825438399924	17.6003658721523
GCA_963698995.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	AP-15	AP-15 sp963698995	0.0712018207502841	9.73496426433981
GCA_963700195.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	AP-15	AP-15 sp963700195	0.0500627454498723	13.8455686824845
GCA_963702685.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp963702685	0.1156655193581539	5.99268636328551
GCA_963703745.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	AP-15	AP-15 sp963703745	0.0453627428272836	15.2800985425213
GCA_963716115.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp963716115	0.1006645076489655	6.88571569809956
