seq_id	pfam_acc	pfam_name	evalue
GCA_000013625.1|Pseudomonadota|Oxalicibacterium|Oxalicibacterium_sp000013625|GCA_000013625.1_1617	PF06850.18	PHB_depo_C	2.7e-24
GCA_000173575.1|Pseudomonadota|Paraburkholderia|Paraburkholderia_sp000173575|GCA_000173575.1_824	PF06850.18	PHB_depo_C	2.1e-05
GCA_000173575.1|Pseudomonadota|Paraburkholderia|Paraburkholderia_sp000173575|GCA_000173575.1_824	PF06850.18	PHB_depo_C	4.3e-05
GCA_000245075.1|Pseudomonadota|Pseudoroseomonas|Pseudoroseomonas_sp000245075|GCA_000245075.1_5492	PF06850.18	PHB_depo_C	2.8e-10
GCA_000245075.1|Pseudomonadota|Pseudoroseomonas|Pseudoroseomonas_sp000245075|GCA_000245075.1_5492	PF06850.18	PHB_depo_C	2.6e-07
GCA_000342265.1|Pseudomonadota|Polynucleobacter|Polynucleobacter_sp000342265|GCA_000342265.1_2297	PF06850.18	PHB_depo_C	1.2e-07
GCA_000342265.1|Pseudomonadota|Polynucleobacter|Polynucleobacter_sp000342265|GCA_000342265.1_2297	PF06850.18	PHB_depo_C	6.2e-03
GCA_000378025.1|Pseudomonadota|Ancylobacter|Ancylobacter_sp000378025|GCA_000378025.1_5282	PF06850.18	PHB_depo_C	5.5e-10
GCA_000378025.1|Pseudomonadota|Ancylobacter|Ancylobacter_sp000378025|GCA_000378025.1_5282	PF06850.18	PHB_depo_C	5.6e-08
GCA_000378025.1|Pseudomonadota|Ancylobacter|Ancylobacter_sp000378025|GCA_000378025.1_5326	PF06850.18	PHB_depo_C	8.6e-02
GCA_000378025.1|Pseudomonadota|Ancylobacter|Ancylobacter_sp000378025|GCA_000378025.1_5326	PF06850.18	PHB_depo_C	3.1e-05
GCA_000378025.1|Pseudomonadota|Ancylobacter|Ancylobacter_sp000378025|GCA_000378025.1_5326	PF06850.18	PHB_depo_C	9.0e-06
GCA_000381565.1|Pseudomonadota|Rugamonas|Rugamonas_sp000381565|GCA_000381565.1_7570	PF06850.18	PHB_depo_C	5.3e-03
GCA_000381565.1|Pseudomonadota|Rugamonas|Rugamonas_sp000381565|GCA_000381565.1_7570	PF06850.18	PHB_depo_C	4.9e-03
GCA_000381565.1|Pseudomonadota|Rugamonas|Rugamonas_sp000381565|GCA_000381565.1_7570	PF06850.18	PHB_depo_C	3.8e+00
GCA_000471925.1|Pseudomonadota|Cupriavidus|Cupriavidus_pickettii_A|GCA_000471925.1_1712	PF06850.18	PHB_depo_C	1.4e-20
GCA_000471925.1|Pseudomonadota|Cupriavidus|Cupriavidus_pickettii_A|GCA_000471925.1_3401	PF06850.18	PHB_depo_C	2.9e-04
GCA_000471925.1|Pseudomonadota|Cupriavidus|Cupriavidus_pickettii_A|GCA_000471925.1_3401	PF06850.18	PHB_depo_C	2.8e-07
GCA_000471925.1|Pseudomonadota|Cupriavidus|Cupriavidus_pickettii_A|GCA_000471925.1_3401	PF06850.18	PHB_depo_C	1.1e-02
GCA_000502395.1|Pseudomonadota|Mesorhizobium|Mesorhizobium_sp000502395|GCA_000502395.1_2325	PF06850.18	PHB_depo_C	4.8e-19
GCA_000648925.1|Pseudomonadota|Caballeronia|Caballeronia_jiangsuensis|GCA_000648925.1_8357	PF06850.18	PHB_depo_C	2.5e-06
GCA_000648925.1|Pseudomonadota|Caballeronia|Caballeronia_jiangsuensis|GCA_000648925.1_8357	PF06850.18	PHB_depo_C	1.0e-06
GCA_000824825.2|Pseudomonadota|Mesorhizobium|Mesorhizobium_sp000824825|GCA_000824825.2_6491	PF06850.18	PHB_depo_C	2.4e-08
GCA_000824845.1|Pseudomonadota|Mesorhizobium|Mesorhizobium_sp000824845|GCA_000824845.1_7551	PF06850.18	PHB_depo_C	1.2e-08
GCA_000955785.1|Pseudomonadota|Cupriavidus|Cupriavidus_sp000955785|GCA_000955785.1_4785	PF06850.18	PHB_depo_C	6.6e-07
GCA_000955785.1|Pseudomonadota|Cupriavidus|Cupriavidus_sp000955785|GCA_000955785.1_4785	PF06850.18	PHB_depo_C	4.5e-05
GCA_000985875.1|Pseudomonadota|Neorhizobium|Neorhizobium_galegae_C|GCA_000985875.1_1409	PF06850.18	PHB_depo_C	3.5e-05
GCA_000985875.1|Pseudomonadota|Neorhizobium|Neorhizobium_galegae_C|GCA_000985875.1_1409	PF06850.18	PHB_depo_C	1.3e-05
GCA_001189335.2|Pseudomonadota|Caballeronia|Caballeronia_schumanniana|GCA_001189335.2_2716	PF06850.18	PHB_depo_C	6.5e-09
GCA_001189335.2|Pseudomonadota|Caballeronia|Caballeronia_schumanniana|GCA_001189335.2_2717	PF06850.18	PHB_depo_C	1.4e-18
GCA_001192655.1|Pseudomonadota|Caedimonas|Caedimonas_varicaedens|GCA_001192655.1_63	PF06850.18	PHB_depo_C	1.9e-09
